,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,Predicted_Like
41,Crush,David Archuleta,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.48700000000000004,162.084,213520,4,33.46,8,1,0
43,Arctic,Valhall,spotify:track:4c3TPYPHOgChuFnzECCZPX,0.27699999999999997,0.836,2,-6.563,1,0.0458,0.000225,0.0284,0.11699999999999999,0.35100000000000003,95.514,267128,4,23.12976,10,0,0
45,When You Lie Next To Me,Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,0.312,0.40399999999999997,5,-10.014,1,0.0293,0.184,0.0,0.306,0.115,138.425,239827,4,54.21894,12,1,0
47,Mama's Song,Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.0357,0.442,0.0,0.096,0.26899999999999996,79.987,240240,4,25.29826,14,1,0
48,Occult Glider,Jazkamer,spotify:track:2Q4VI3YbXvqzq22dWmPkp8,0.168,0.8079999999999999,7,-4.563,0,0.10800000000000001,0.0329,0.9640000000000001,0.331,0.0209,91.26899999999999,745600,3,76.55211,28,0,0
51,Rush,Aly & AJ,spotify:track:1dpXikU9kSyxm1mKulwHws,0.5479999999999999,0.815,2,-5.218,0,0.0409,0.0175,8.900000000000001e-06,0.127,0.212,129.963,191733,4,42.491209999999995,8,1,0
52,I Remember,Keyshia Cole,spotify:track:1dObJGQUgJ7tWxJ0byON6W,0.42200000000000004,0.736,5,-4.426,0,0.049,0.203,0.0,0.102,0.303,129.278,260093,4,29.054240000000004,12,1,0
54,We Made It,Busta Rhymes Featuring Linkin Park,spotify:track:26jVcJqG66nj36jRqPBp2U,0.62,0.746,11,-6.006,1,0.0552,0.424,0.0,0.0684,0.191,138.454,238067,4,23.56907,11,1,0
55,Almost Home,Craig Morgan,spotify:track:6FW9MTGMjR5A6q2o7PLuuz,0.525,0.48100000000000004,8,-6.715,1,0.0251,0.302,0.0,0.121,0.237,75.97399999999999,289000,4,42.11222,11,1,0
65,Blow Me,DJ D,spotify:track:2ohXvQLyB5RbZ0du4fAQHX,0.461,0.93,8,-8.343,0,0.187,0.0531,0.733,0.177,0.14,163.93400000000003,371984,4,48.209559999999996,19,0,0
66,Still Broken,Plan Three,spotify:track:2ajt6aQwvgu2eJbNIZhJFY,0.51,0.8809999999999999,11,-4.3839999999999995,0,0.0354,0.000591,1.4599999999999999e-05,0.131,0.278,91.03399999999999,232093,4,31.97236,9,0,0
67,Life Ain't Always Beautiful,Gary Allan,spotify:track:3unLUM6bJcy5beGawHpynM,0.48100000000000004,0.508,2,-7.666,1,0.0248,0.21600000000000003,0.000175,0.105,0.268,86.01299999999999,224613,4,71.34437,7,1,0
68,Kiss A Girl,Keith Urban,spotify:track:4DyKZmONpoggnn3piyjad2,0.653,0.7859999999999999,2,-5.417999999999999,1,0.0338,0.0103,2.19e-06,0.201,0.47700000000000004,120.992,226733,4,33.553259999999995,9,1,0
69,Open House,Guru,spotify:track:2nIQLI6m0qgjuZ6eO3f7r3,0.7440000000000001,0.7390000000000001,4,-6.272,0,0.307,0.11900000000000001,0.0,0.106,0.6779999999999999,79.245,185582,4,28.99861,8,0,0
73,Headsprung,LL Cool J,spotify:track:1GIN41bLhiKeEPeC2vXH8i,0.718,0.7859999999999999,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,267320,4,40.33202,20,1,0
81,What's Left Of Me,Nick Lachey,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd,0.42100000000000004,0.728,7,-5.644,1,0.035,0.136,0.0,0.136,0.311,150.12,244667,4,29.221790000000002,11,1,0
82,I Learned From The Best,Whitney Houston,spotify:track:3wACjmQo7ZkRNMLfZXndFB,0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.94899999999998,259533,4,41.68325,14,1,0
83,Broken,Seether Featuring Amy Lee,spotify:track:507bYMYfbm6sUS9iEAaeSd,0.44799999999999995,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,258333,4,48.88537,12,1,0
87,God Is Dead,Heart Attack,spotify:track:0k3akiXIyGFLT31IC3twkP,0.34299999999999997,0.972,1,-9.573,0,0.079,1.52e-06,0.51,0.0501,0.547,94.927,82187,4,14.984539999999999,3,0,0
89,Deathmask Divine,The Black Dahlia Murder,spotify:track:3oCTRjyXmT1MMn4nVQMKBm,0.47100000000000003,0.993,1,-3.738,1,0.191,7.36e-06,0.00216,0.0925,0.0672,113.99600000000001,217253,4,18.99449,12,0,0
90,Step Daddy,Hitman Sammy Sam,spotify:track:1TKRumlRMXv2SEKPhueya0,0.93,0.773,1,-5.98,1,0.0457,0.00609,0.000481,0.0767,0.348,118.99700000000001,230493,4,31.991870000000002,10,1,0
94,The Saints Are Coming,U2 & Green Day,spotify:track:6uQL0epVs9N9Bergafaf6x,0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.11800000000000001,152.116,201907,4,33.25761,11,1,0
96,Beautiful,Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,29.82293,11,1,0
99,Shadow Of The Day,Linkin Park,spotify:track:0OYcEfskah1egYHjYRvbg1,0.534,0.39299999999999996,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360,4,58.456019999999995,9,1,0
101,Some People Change,Montgomery Gentry,spotify:track:7cmZDjXMF1A0dGV726pMYs,0.55,0.61,2,-6.358,1,0.0388,0.0456,0.0,0.11,0.35700000000000004,168.18599999999998,201867,4,24.3249,11,1,0
105,Ever The Same,Rob Thomas,spotify:track:02acUMylPHMjJ9miDc9b38,0.435,0.7290000000000001,1,-4.8180000000000005,0,0.0307,0.0152,2.6300000000000002e-05,0.11,0.524,188.017,256600,4,41.423140000000004,10,1,0
107,Punk Fact Or Faction,Extreme Noise Terror,spotify:track:0dRyY3VAXutGwDyK1cB4ZL,0.17300000000000001,0.997,4,-3.6919999999999997,1,0.195,1.0300000000000001e-05,0.631,0.324,0.0329,121.01299999999999,96013,4,28.098940000000002,6,0,0
108,Fun in America,Jayne County,spotify:track:0pDrgytQok3cwE3RFFuCSW,0.359,0.9790000000000001,2,-6.997999999999999,1,0.196,0.0105,0.0,0.0763,0.256,172.611,187907,4,20.91098,10,0,0
109,Sinking,Incendiary,spotify:track:691zGt8f43n3D2X068fHaa,0.209,0.9229999999999999,7,-3.286,1,0.0598,5.660000000000001e-05,0.0505,0.326,0.42,93.34700000000001,170813,4,105.99946000000001,5,0,0
115,Are You Gonna Be My Girl,Jet,spotify:track:305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,4,20.87996,7,1,0
119,คนไร้ค่า,Stone Metal Fire,spotify:track:0K1U7QPsuA6tU0gJTvHZpC,0.473,0.46399999999999997,10,-8.112,0,0.0287,0.00267,0.000663,0.107,0.25,128.955,272400,3,47.53233,12,0,0
123,Fallout (Of Our Being),Nausea,spotify:track:6SO0RfXtb6kgYO17lNwKn8,0.308,0.935,2,-7.309,0,0.124,0.0025399999999999997,0.203,0.303,0.171,89.54700000000001,115853,4,71.55419,4,0,0
124,Come A Little Closer,Dierks Bentley,spotify:track:4HE1X1MtjHCjxicUHYQmyW,0.585,0.5770000000000001,5,-5.752000000000001,1,0.0228,0.0587,0.0036899999999999997,0.102,0.335,80.02,282720,4,22.544520000000002,11,1,0
125,Encarnar no Seu Corpo,Sarcasmo,spotify:track:2KS0Ce6rbK7nsV67Lj85uQ,0.191,0.996,2,-4.596,1,0.159,5.12e-05,0.132,0.315,0.0752,110.512,318360,4,29.58095,12,0,0
128,Il trattamento,Cor Veleno,spotify:track:5qUWO7mmcF83PMftjF3P09,0.8029999999999999,0.821,1,-4.342,0,0.252,0.0449,0.0,0.115,0.763,100.031,229973,4,49.96968,7,0,0
129,With Me - Massive Power Mix,Crush 40,spotify:track:2IqacX5Aw5vEMbrL1j5UI4,0.447,0.8740000000000001,8,-5.82,1,0.0457,6.52e-05,0.00078,0.0573,0.64,87.47399999999999,235000,4,33.77383,11,0,0
131,Sunday School,Pretty Lights,spotify:track:0eU8KglPlVxVMZVDNGi7GU,0.7290000000000001,0.746,9,-4.84,0,0.0599,0.0464,0.114,0.105,0.562,94.977,391361,4,34.23814,16,0,0
135,Girls Lie Too,Terri Clark,spotify:track:2Vn8Ea6fGOM3dsGYVcJ62G,0.499,0.883,4,-4.742,1,0.0451,0.0689,0.0,0.163,0.5329999999999999,138.80100000000002,214200,4,77.12451999999999,5,1,0
141,Mouth Of Ghosts,The Dillinger Escape Plan,spotify:track:0Le202Yj1zphNm3QyfN1sB,0.27899999999999997,0.9009999999999999,1,-7.0520000000000005,1,0.0557,0.000529,0.11800000000000001,0.37,0.268,119.95,409827,4,47.32667,13,0,0
143,The Sniper At The Gates Of Heaven,The Black Angels,spotify:track:3tX4hDnn0n6B066kOFmziQ,0.311,0.7090000000000001,4,-7.235,1,0.0331,0.00010400000000000001,0.215,0.156,0.34299999999999997,108.28399999999999,256627,4,29.34654,12,0,0
145,Full Metal Swimsuit,Agoraphobic Nosebleed,spotify:track:4ESpRPaf5sBc4rEPCkKtba,0.298,0.943,10,-4.019,0,0.18,8.53e-05,0.0038200000000000005,0.52,0.19899999999999998,102.7,34560,4,0.0,2,0,0
149,The Sprig of Thyme: No. 1. The bold grenadier,John Rutter,spotify:track:0qrluoRkYlnM7R46lJs6Gr,0.19,0.0237,5,-29.269000000000002,0,0.0397,0.991,0.0387,0.10400000000000001,0.14,103.604,182400,3,20.01717,10,0,0
151,Wednesday Night Prayer Meeting - Alternative Take,Charles Mingus,spotify:track:42IqaW4VDhFomQMojirykk,0.377,0.45299999999999996,5,-14.669,0,0.0636,0.45899999999999996,0.00268,0.0921,0.607,126.93,341333,3,35.14482,15,0,0
152,Not Nineteen Forever,Courteeners,spotify:track:1bSkRvS1uWHI1QL0aJbvyC,0.402,0.92,2,-2.944,1,0.0408,0.000174,0.0,0.0807,0.297,139.793,243973,4,150.0781,6,0,0
153,Taxidermist,False Prophets,spotify:track:5TmLCuGKfXZVahBnTs2Bws,0.13699999999999998,0.853,11,-8.79,0,0.0972,0.000129,0.00229,0.0473,0.252,187.209,274493,4,106.25521,8,0,0
157,No More Drama,Mary J. Blige,spotify:track:7GCE5mQQsyqswYbEkCieK5,0.623,0.828,6,-6.265,0,0.212,0.509,7.77e-06,0.0946,0.5920000000000001,97.926,248320,4,40.53372,8,1,0
160,Boy From School,Hot Chip,spotify:track:1L8H6AuK4TaMmolSL0N0mR,0.631,0.863,8,-3.963,0,0.0297,0.161,5.85e-05,0.0846,0.49700000000000005,125.994,319653,4,77.17961,13,0,0
161,All Hail Shadow,Crush 40,spotify:track:0O2TR0dmwnPejopBpMpv9e,0.308,0.934,7,-6.939,1,0.0824,2.35e-06,3.69e-06,0.0896,0.419,170.00900000000001,241693,4,21.19217,9,0,0
166,Tattoos Fade,World / Inferno Friendship Society,spotify:track:6ODgAJmmQAiESP03dOa8gQ,0.293,0.877,9,-6.468999999999999,1,0.0707,0.0813,0.0437,0.0917,0.584,69.219,312893,4,57.28589,14,0,0
167,Why I Love You,B2K,spotify:track:0fPBKo78nKsbIla2ExeefC,0.698,0.618,0,-5.83,1,0.0282,0.0482,0.0,0.11599999999999999,0.37,89.98100000000001,240640,4,26.484170000000002,9,1,0
168,Kingdom Business,Canton Jones,spotify:track:5XFzsWkAeiWVasprx2CBOE,0.648,0.7759999999999999,11,-5.6979999999999995,0,0.252,0.0036200000000000004,0.0,0.179,0.446,91.21799999999999,246960,4,35.9768,12,0,0
170,Never Scared,Bone Crusher Featuring Killer Mike & T.I.,spotify:track:4kmIO0yPq92dXtKCL28RfC,0.586,0.927,11,-4.077,0,0.19399999999999998,0.00924,1.85e-06,0.344,0.528,73.023,316133,4,27.206979999999998,16,1,0
175,Girls Around The World,Lloyd Featuring Lil Wayne,spotify:track:6fju5NbZznZRZDfP7mpZ56,0.727,0.83,7,-8.699,1,0.125,0.0286,0.000368,0.145,0.59,97.602,229800,4,47.60881,8,1,0
179,G'd Up,Snoop Dogg Presents Tha Eastsidaz,spotify:track:1zIXpzuCC7FM4kECt2eEzu,0.9079999999999999,0.763,1,-5.739,1,0.28,0.0395,0.0,0.0646,0.593,97.10600000000001,273467,4,23.51463,11,1,0
180,Whore to a Chainsaw,Thy Art Is Murder,spotify:track:6DR4rQ3pSQq9N8vMa0l8mR,0.295,0.9670000000000001,1,-6.327999999999999,0,0.16899999999999998,7.730000000000001e-05,0.784,0.217,0.254,149.99,200747,1,28.35758,9,0,0
182,The Ravenous Beast,Destruction,spotify:track:1PJSHuwghcl1htfLf4KvBV,0.419,0.988,3,-2.241,0,0.111,0.000304,0.589,0.289,0.37799999999999995,97.036,189133,4,25.31017,10,0,0
187,I Want You,Janet Jackson,spotify:track:5xDDEqO786YBj3tJDSR2Ms,0.643,0.843,3,-5.5329999999999995,1,0.0384,0.172,0.0247,0.122,0.6659999999999999,105.744,252800,3,50.25079,9,1,0
192,Take Your Time (Coming Home),fun.,spotify:track:2WmF4SAbX81fLDXhYsAMf9,0.436,0.746,2,-5.301,1,0.0843,0.0768,2.49e-06,0.126,0.301,132.06,471267,4,46.90335,18,0,0
193,Why Can't I?,Liz Phair,spotify:track:4z4PB23xYTg1oANmyZovsw,0.48700000000000004,0.759,11,-4.849,1,0.0405,0.0273,0.0,0.165,0.22699999999999998,80.958,208360,4,37.25538,10,1,0
197,Too Bad,Nickelback,spotify:track:2cCWbBmadLbKvr9xddC79R,0.598,0.8079999999999999,10,-5.209,1,0.0388,0.0030399999999999997,0.0,0.147,0.28800000000000003,128.025,232240,4,34.01039,11,1,0
198,Take You There,Sean Kingston,spotify:track:6AdLyvisRKHLAwARaZMGr6,0.752,0.9209999999999999,5,-4.321000000000001,0,0.0696,0.0182,0.0,0.256,0.634,115.03299999999999,236693,4,51.402390000000004,13,1,0
200,Holly Park,Brandtson,spotify:track:0eGWKb3AFCQGPzEzrHK9HW,0.244,0.67,6,-5.9239999999999995,1,0.0286,0.000685,0.00274,0.109,0.502,170.65400000000002,331467,3,59.1293,13,0,0
201,Female Buddha Taras Mantra - Tibetan Chant plus Urban Groove,Lama Surya Das & Steven Halpern,spotify:track:4jltSJWHhH9IBq980mhfTg,0.603,0.253,5,-14.335999999999999,0,0.0282,0.67,0.0854,0.11599999999999999,0.0999,76.91199999999999,347653,4,22.75065,17,0,0
203,Death Defying Years,Half the World,spotify:track:7B3LRoWMuBFvYImwsSsXcm,0.45399999999999996,0.9109999999999999,2,-3.8569999999999998,1,0.0794,0.0184,0.0,0.128,0.445,93.21799999999999,186760,4,58.33991999999999,6,0,0
204,Anphisbena,Opera IX,spotify:track:0m44z5yhxeWssBgxf2sBTv,0.075,0.858,9,-5.01,0,0.0651,2.71e-06,0.79,0.0395,0.31,61.106,462400,4,37.73448,20,0,0
212,On Fire,Lil Wayne,spotify:track:50mX6QmpQX4cCsRYJ9fGM3,0.626,0.866,11,-4.065,0,0.0408,0.00316,0.000364,0.171,0.545,132.031,248240,4,29.767570000000003,13,1,0
213,The Boss,Rick Ross Featuring T-Pain,spotify:track:3n5qF6aprwEIjHWuH5jECM,0.431,0.8420000000000001,7,-4.072,1,0.35700000000000004,0.008759999999999999,0.0,0.309,0.61,83.66,225653,4,61.26174,11,1,0
214,Days Go By,Dirty Vegas,spotify:track:2RLpFEf6d0708O7Bqhjyxg,0.7859999999999999,0.853,9,-8.274,0,0.0688,0.0499,0.0872,0.35,0.309,126.99,432147,4,18.48264,19,1,0
215,Green Light,John Legend Featuring Andre 3000,spotify:track:72by3Re4C3eVEBXvsUo0zV,0.622,0.882,9,-5.59,0,0.11900000000000001,0.0912,0.0,0.21600000000000003,0.762,77.506,284187,4,27.35507,11,1,0
217,Rosa de Metal,Red Wine,spotify:track:7x2v2qFUQRCeG9QEsfrRHs,0.40399999999999997,0.958,9,-4.405,0,0.0683,0.00139,0.0,0.0451,0.32799999999999996,90.09899999999999,257760,4,103.01444000000001,7,0,0
221,PCP Rock,Friends Forever,spotify:track:53LaeFXgkHNb9hM9n5ptTP,0.13699999999999998,0.8390000000000001,5,-3.048,1,0.0601,3.9399999999999995e-05,0.885,0.305,0.132,142.31799999999998,219973,3,32.59319,11,0,0
222,Feel you (I Love Trance Mix),Marc Et Claude,spotify:track:5uUZVbmtFxOWVqREYEeGhA,0.6559999999999999,0.847,6,-7.47,0,0.0375,0.000123,0.32899999999999996,0.0807,0.43,136.988,416133,4,28.94016,14,0,0
223,Metal Army March,Witchtrap,spotify:track:1S0gaD9ikgSVPF1NQ60aS6,0.469,0.894,4,-8.321,1,0.0843,0.0676,0.188,0.0765,0.326,96.906,446560,4,41.58398,14,0,0
229,"Swing, Swing",The All-American Rejects,spotify:track:003FTlCpBTM4eSqYSWPv4H,0.5529999999999999,0.7170000000000001,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,233267,4,29.844409999999996,12,1,0
230,Don't Wait,Dashboard Confessional,spotify:track:0iufOeur7VOffzvM1U35QN,0.42200000000000004,0.836,3,-4.088,1,0.0361,0.000251,0.0016600000000000002,0.35100000000000003,0.165,154.013,245000,4,38.8046,12,1,0
235,Gimmie Love,Collie Buddz,spotify:track:6UnR7DiYC4uGQW6YxkVcWT,0.648,0.675,10,-7.81,1,0.294,0.0387,0.0,0.154,0.631,79.419,224575,4,71.04259,6,0,0
237,Tal Vez,Ricky Martin,spotify:track:2VspVkHity8i4H9jammhhR,0.512,0.615,11,-5.318,1,0.0319,0.21600000000000003,0.0,0.12300000000000001,0.193,115.884,279227,4,32.57099,9,1,0
245,Sex Ed Rocks,I Set My Friends On Fire,spotify:track:70bIXA78HdQB7QCMZ5YwLF,0.419,0.9179999999999999,2,-5.111000000000001,0,0.0828,0.00128,0.0,0.306,0.395,154.394,192699,4,62.40818,7,0,0
249,We Will Glorify - House Of Worship Album Version,Twila Paris,spotify:track:0V3aZTzeoDK6whbZwsKX6w,0.46799999999999997,0.5539999999999999,9,-5.58,1,0.0315,0.7440000000000001,0.0,0.0996,0.175,135.903,193427,3,44.34413,6,0,0
251,Doctor Doctor,Michael Schenker,spotify:track:1kUZTOYBORnOjvFP7tM1p5,0.251,0.875,2,-3.938,0,0.0641,0.0118,0.0,0.127,0.308,136.122,287280,4,47.38856,16,0,0
252,(Do Not Feed The) Oyster,Stephen Malkmus,spotify:track:6rSQtxF6vhbPhiLXhJRKzp,0.451,0.498,2,-8.535,1,0.0273,0.0723,0.185,0.0922,0.266,87.37299999999999,289227,4,32.18392,11,0,0
256,Show Me What You Got,Blessed By A Broken Heart,spotify:track:7uvn4zzwralcYsZU5tmuvY,0.47100000000000003,0.934,10,-2.779,0,0.107,0.00015900000000000002,1.22e-05,0.135,0.174,149.781,247813,4,27.93188,14,0,0
258,Megalomania,Therion,spotify:track:4KLRtj98NPcVOBSrBzk6tU,0.133,0.745,7,-8.36,1,0.0449,1.22e-05,0.925,0.078,0.24600000000000002,80.79899999999999,301000,3,38.18346,15,0,0
260,Rise Of The Pagan Folk,Eliwagar,spotify:track:7uDHXDNK0H4ybi2CX7nkN8,0.313,0.667,11,-7.65,0,0.0372,0.0318,0.0,0.0697,0.0391,123.363,262147,4,28.480220000000003,6,0,0
266,The Gold Torques Of Ulàid,Absu,spotify:track:5qYFUzP9ukCcVIj54uh4FK,0.209,0.997,5,-3.253,1,0.126,0.0125,0.17300000000000001,0.11199999999999999,0.29,165.76,232307,4,73.98002,10,0,0
273,Angelfangs,Cobalt,spotify:track:7lg2GumTOf7N69NyYexr1m,0.163,0.9940000000000001,11,-5.651,1,0.248,1.01e-05,0.11599999999999999,0.504,0.0466,95.434,385533,4,24.13964,16,0,0
278,These Are The Days,O-Town,spotify:track:4Mem5PZWPaqQ7X1bGysNxl,0.598,0.627,9,-6.3229999999999995,1,0.038,0.000968,0.0,0.0626,0.43200000000000005,119.991,263933,4,37.077329999999996,11,1,0
279,Face Down,The Red Jumpsuit Apparatus,spotify:track:4wzjNqjKAKDU82e8uMhzmr,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.465,92.956,192000,4,37.744609999999994,5,1,0
280,"I'll Forgive You For Throwing That Rock, Cos That Dance Was Kinda Funny",TTNG,spotify:track:03R6JBjwjmzjYXzsbJdulv,0.385,0.38799999999999996,10,-11.672,1,0.0294,0.387,0.00503,0.0983,0.324,130.86700000000002,183200,3,41.99688,10,0,0
281,If Today Was Your Last Day,Nickelback,spotify:track:4QJLKU75Rg4558f4LbDBRi,0.485,0.9109999999999999,3,-5.749,1,0.0355,8.669999999999999e-05,0.0,0.092,0.568,89.956,249067,4,38.5206,7,1,0
283,Metal Postcard - John Peel Session,Siouxsie and the Banshees,spotify:track:1gKpqF1Z8ef80bPPmcipbk,0.564,0.836,0,-7.011,1,0.14,0.00387,0.00279,0.107,0.442,116.721,213293,4,24.21061,11,0,0
285,Miss Murder,AFI,spotify:track:0Ti2dlF2xLjXblvdU5fCxM,0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.6859999999999999,143.519,206587,4,52.811609999999995,7,1,0
287,Notte D'Amore Con Te,A Touch Of Class,spotify:track:7elKAMubTOQBZn9ykS99ZO,0.774,0.8220000000000001,9,-7.487,0,0.0512,0.0352,1.92e-06,0.0795,0.535,132.084,245203,4,50.03385,11,0,0
289,Corazón De Metal,Muro,spotify:track:4DapvOmqsXH7q9z6aCniWd,0.539,0.8270000000000001,7,-8.408999999999999,1,0.0411,6.56e-05,0.00744,0.0946,0.47600000000000003,114.993,263533,4,39.05829,10,0,0
290,Mississippi Girl,Faith Hill,spotify:track:79YeQbd1p7MsuT7wHQLRYY,0.499,0.765,9,-4.148,1,0.0521,0.113,0.0,0.0509,0.665,83.916,232707,4,27.97209,11,1,0
294,Cloudwalker,Horse The Band,spotify:track:2kwxqGVAO4QBaTHDpohE8g,0.303,0.934,2,-5.379,1,0.0767,6.670000000000001e-05,0.0969,0.11,0.114,132.744,288707,4,49.78768,11,0,0
295,Sworn In The Metal Wind,Lost Horizon,spotify:track:16bhZesmjjZZ5O1Hs8q2VS,0.467,0.975,10,-5.0280000000000005,1,0.166,6.37e-05,0.065,0.429,0.265,92.405,343600,4,51.412620000000004,11,0,0
302,Kids,MGMT,spotify:track:1jJci4qxiYcOHhQR247rEU,0.451,0.9309999999999999,9,-3.8710000000000004,1,0.0719,0.0007599999999999999,0.0049,0.361,0.172,122.961,302840,4,20.258689999999998,10,1,0
303,La Balada,Cuca,spotify:track:1uGfA3nwqg6bd7IzE7K0Rp,0.672,0.5,8,-9.866,1,0.0322,0.27699999999999997,0.0,0.0954,0.201,95.758,292787,4,75.21086,8,0,0
307,Punk Rock Love,The Casualties,spotify:track:4onKDOYooNaBgWzOuS8Cla,0.156,0.9990000000000001,2,-1.499,1,0.147,0.0249,0.0,0.22699999999999998,0.0899,151.19899999999998,108440,4,27.557920000000003,7,0,0
308,Knight Of The Wind,Crush 40,spotify:track:5Ypq31YwFroillIOSLWdP5,0.369,0.89,8,-6.192,1,0.0516,6.01e-06,0.26,0.17800000000000002,0.5820000000000001,84.94,271920,4,29.48449,12,0,0
312,Emotional,Carl Thomas,spotify:track:2qYIdNaktgtpaPHxDVMXbE,0.5479999999999999,0.542,1,-8.435,0,0.0409,0.544,0.0,0.14800000000000002,0.389,83.10600000000001,271868,4,62.296009999999995,10,1,0
315,White Walls,Between The Buried And Me,spotify:track:68ok85RlopZM5l6a3Hth8Z,0.262,0.975,1,-6.555,0,0.177,0.000396,0.37799999999999995,0.297,0.11900000000000001,135.891,853213,4,42.81075,25,0,0
